dipendente_id,matricola,nome,cognome,email,telefono,filiale_id,ruolo,data_assunzione,data_cessazione,stato,created_at,updated_at
1,MAT000001,Luigi,Fiore,luigi.fiore@bancatrinacria.it,+393206474687,30,Gestore,2016-09-26,,Attivo,2026-01-26 22:18:19.264288,2026-01-26 22:18:19.264292
2,MAT000002,Anna,Messina,anna.messina@bancatrinacria.it,+393390097882,11,Direttore,2015-08-21,,Attivo,2026-01-26 22:18:19.266328,2026-01-26 22:18:19.266330
3,MAT000003,Teresa,Caruso,teresa.caruso@bancatrinacria.it,+393293619399,3,Gestore,2015-06-12,,Attivo,2026-01-26 22:18:19.268969,2026-01-26 22:18:19.268972
4,MAT000004,Martina,Castagna,martina.castagna@bancatrinacria.it,+393363534624,32,Operatore,2020-02-16,,Attivo,2026-01-26 22:18:19.270176,2026-01-26 22:18:19.270178
5,MAT000005,Francesco,Asaro,francesco.asaro@bancatrinacria.it,+393469911838,28,Gestore,2017-12-22,,Attivo,2026-01-26 22:18:19.271331,2026-01-26 22:18:19.271334
6,MAT000006,Francesco,Randazzo,francesco.randazzo@bancatrinacria.it,+393404278498,23,Gestore,2015-02-02,,Attivo,2026-01-26 22:18:19.272478,2026-01-26 22:18:19.272481
7,MAT000007,Salvatore,Vitale,salvatore.vitale@bancatrinacria.it,+393361182449,23,Gestore,2017-05-12,,Attivo,2026-01-26 22:18:19.273799,2026-01-26 22:18:19.273804
8,MAT000008,Pietro,Torrisi,pietro.torrisi@bancatrinacria.it,+393474016400,30,Cassiere,2018-09-28,,Attivo,2026-01-26 22:18:19.275057,2026-01-26 22:18:19.275059
9,MAT000009,Pietro,Costa,pietro.costa@bancatrinacria.it,+393468680112,24,Cassiere,2021-02-12,2024-06-25,Attivo,2026-01-26 22:18:19.276101,2026-01-26 22:18:19.276103
10,MAT000010,Giovanna,Orlando,giovanna.orlando@bancatrinacria.it,+393310450533,10,Operatore,2022-06-24,,Attivo,2026-01-26 22:18:19.277487,2026-01-26 22:18:19.277490
11,MAT000011,Marco,Santoro,marco.santoro@bancatrinacria.it,+393352260256,30,Gestore,2023-12-30,,Attivo,2026-01-26 22:18:19.278576,2026-01-26 22:18:19.278579
12,MAT000012,Carmela,Sardo,carmela.sardo@bancatrinacria.it,+393331607337,29,Cassiere,2018-12-03,,Attivo,2026-01-26 22:18:19.280015,2026-01-26 22:18:19.280018
13,MAT000013,Michele,Palermo,michele.palermo@bancatrinacria.it,+393203654145,5,Gestore,2022-03-12,,Attivo,2026-01-26 22:18:19.284455,2026-01-26 22:18:19.284460
14,MAT000014,Davide,Cavallaro,davide.cavallaro@bancatrinacria.it,+393201429401,23,Cassiere,2021-09-09,,Attivo,2026-01-26 22:18:19.289172,2026-01-26 22:18:19.289177
15,MAT000015,Antonino,Orlando,antonino.orlando@bancatrinacria.it,+393481693406,10,Operatore,2015-01-07,,Attivo,2026-01-26 22:18:19.294641,2026-01-26 22:18:19.294645
16,MAT000016,Giovanni,Fazio,giovanni.fazio@bancatrinacria.it,+393451595148,32,Cassiere,2018-06-20,,Attivo,2026-01-26 22:18:19.299601,2026-01-26 22:18:19.299641
17,MAT000017,Domenico,Romano,domenico.romano@bancatrinacria.it,+393346629946,6,Gestore,2021-02-22,,Attivo,2026-01-26 22:18:19.303739,2026-01-26 22:18:19.303742
18,MAT000018,Giuseppina,Orlando,giuseppina.orlando@bancatrinacria.it,+393397773872,26,Gestore,2022-05-22,,Attivo,2026-01-26 22:18:19.305062,2026-01-26 22:18:19.305065
19,MAT000019,Lucia,Greco,lucia.greco@bancatrinacria.it,+393354332003,28,Direttore,2020-04-30,,Attivo,2026-01-26 22:18:19.306460,2026-01-26 22:18:19.306462
20,MAT000020,Laura,Mazza,laura.mazza@bancatrinacria.it,+393346763201,28,Operatore,2023-09-24,,Attivo,2026-01-26 22:18:19.309766,2026-01-26 22:18:19.309769
